room_id,co2_level,co_level,rel_humid,ozone_level,pm_one,pm_two_five,pm_ten,param_temp,param_tvoc,heat_index,date_acquired
801,365,21,80,3,32,54,18,25,18,30,2024-05-09
803,434,14,66,16,29,55,10,18,3,31,2024-04-26
812,484,27,53,0,15,11,53,28,25,20,2024-05-05
803,405,16,72,15,5,15,21,20,24,31,2024-04-23
807,411,20,61,20,5,50,37,34,30,21,2024-04-22
809,552,19,53,25,8,10,6,18,19,24,2024-04-10
801,467,26,76,18,39,20,40,35,12,29,2024-04-10
808,444,18,53,0,29,21,9,25,9,35,2024-04-07
810,519,15,60,20,10,52,15,28,7,30,2024-04-09
813,347,25,51,19,30,51,53,28,26,23,2024-04-24
805,571,24,78,13,24,15,9,24,21,20,2024-04-19
812,376,17,35,7,40,45,7,30,4,20,2024-04-27
803,301,16,32,25,38,24,30,25,6,34,2024-04-29
812,397,23,36,7,12,7,47,21,8,31,2024-04-23
803,502,26,32,19,18,58,6,22,16,31,2024-04-30
814,317,20,61,24,40,64,10,28,4,33,2024-04-24
808,585,25,80,21,31,60,50,31,20,28,2024-04-26
803,403,21,47,14,10,14,29,29,11,27,2024-04-21
803,311,20,35,6,23,19,39,18,9,32,2024-04-27
803,411,23,36,20,11,27,41,28,29,22,2024-05-03
807,576,14,41,2,33,10,22,26,29,24,2024-05-11
805,534,14,33,8,34,48,36,18,7,20,2024-04-20
801,359,22,56,0,24,29,42,18,16,29,2024-04-22
803,390,18,76,24,22,12,26,31,12,34,2024-04-17
805,594,14,70,4,9,11,41,34,8,32,2024-05-04
806,312,16,51,20,35,41,5,34,26,32,2024-04-22
803,534,22,55,8,24,56,32,27,23,29,2024-04-20
807,552,18,53,25,32,28,6,24,6,33,2024-05-06
813,360,15,73,9,25,44,46,29,27,26,2024-04-16
807,328,25,60,5,12,63,42,22,15,28,2024-04-08
803,397,26,79,18,32,28,7,30,16,33,2024-04-09
809,555,21,30,7,33,29,45,28,14,30,2024-05-05
813,408,18,72,2,5,48,45,18,18,31,2024-04-09
813,422,27,77,2,22,27,34,31,22,27,2024-04-23
803,518,21,49,4,36,29,47,19,10,30,2024-05-08
810,415,22,36,1,41,17,45,29,2,22,2024-04-15
811,533,17,34,18,35,38,34,19,25,28,2024-04-07
806,358,15,51,7,6,48,37,23,22,26,2024-05-06
814,508,16,55,14,11,58,49,34,11,28,2024-04-19
804,421,24,63,14,10,63,11,32,12,33,2024-05-10
804,442,24,46,23,8,29,44,34,29,30,2024-04-20
809,336,17,58,1,25,16,14,32,0,32,2024-05-02
809,337,26,70,1,19,19,41,22,0,35,2024-04-30
803,345,23,55,11,11,22,49,24,20,29,2024-05-05
812,395,27,40,4,26,5,48,30,4,26,2024-04-26
810,569,16,45,17,6,58,23,20,11,33,2024-05-06
810,383,20,50,10,22,6,42,32,5,33,2024-04-10
810,537,19,64,6,36,12,33,35,15,33,2024-04-14
805,365,25,79,10,31,28,35,24,2,24,2024-05-02
801,471,26,68,24,31,22,35,28,2,33,2024-04-16
812,345,16,30,3,41,30,34,29,13,33,2024-04-22
803,391,19,57,14,37,16,37,35,23,26,2024-05-01
808,510,25,50,2,14,54,18,29,18,20,2024-05-04
803,423,20,74,16,26,45,22,29,3,28,2024-05-03
802,440,23,72,10,24,36,9,31,3,35,2024-04-29
811,496,23,71,6,30,24,32,29,14,35,2024-04-19
809,594,15,67,23,25,59,14,30,2,27,2024-05-07
809,533,14,52,22,8,37,40,21,22,29,2024-05-01
811,437,23,53,23,21,27,8,21,2,25,2024-04-18
807,466,21,60,1,26,36,25,22,6,29,2024-04-30
805,479,15,61,23,24,46,52,25,9,35,2024-04-27
802,540,21,41,23,43,31,22,28,7,31,2024-05-02
814,448,20,61,3,40,8,21,21,4,20,2024-04-28
812,560,20,40,20,26,59,31,31,17,23,2024-04-08
810,473,16,65,19,40,60,37,32,23,27,2024-04-19
801,538,15,78,8,6,10,16,21,27,20,2024-05-11
804,422,17,37,21,7,53,10,24,6,29,2024-04-07
806,589,18,31,24,26,62,46,23,29,31,2024-04-25
811,450,27,75,16,12,23,17,29,29,29,2024-04-08
808,302,20,62,18,7,8,42,21,19,34,2024-04-19
811,339,22,46,2,20,57,52,34,30,21,2024-05-03
802,362,16,33,11,5,61,22,26,14,31,2024-04-08
807,548,26,65,25,17,62,7,24,4,22,2024-05-03
801,369,27,31,2,34,61,10,31,29,22,2024-04-17
811,314,18,66,25,36,35,51,34,2,21,2024-04-27
814,348,19,38,20,42,16,44,28,24,35,2024-04-15
805,407,17,63,11,33,53,27,23,7,21,2024-05-04
811,589,24,64,20,18,45,52,34,6,25,2024-04-07
807,587,14,58,20,13,53,36,30,10,25,2024-04-23
807,450,18,79,14,5,19,25,31,5,35,2024-05-03
813,356,17,79,24,6,27,42,24,30,26,2024-04-11
814,494,14,78,23,36,16,23,18,28,23,2024-05-09
811,311,26,66,4,7,24,26,31,28,26,2024-04-07
807,331,14,64,23,22,14,42,18,22,23,2024-04-10
810,377,21,70,0,35,37,15,22,21,26,2024-04-29
811,343,15,52,7,20,54,38,33,2,33,2024-04-16
804,472,20,35,8,15,35,30,26,24,31,2024-04-17
803,407,21,67,2,18,14,36,32,1,22,2024-04-25
803,300,14,63,14,23,22,50,29,22,32,2024-04-28
802,574,15,44,8,39,16,7,34,10,30,2024-04-18
812,313,15,71,15,33,32,49,32,30,24,2024-04-12
802,447,27,68,10,27,39,35,32,22,32,2024-05-10
814,505,17,70,17,20,32,42,26,21,25,2024-04-18
802,491,15,60,14,33,33,50,25,27,28,2024-04-21
801,324,27,30,15,25,5,34,34,19,21,2024-04-26
804,327,24,41,2,41,23,9,30,1,26,2024-04-15
804,434,22,69,12,36,57,11,22,6,22,2024-05-11
810,551,16,77,9,19,65,29,24,21,25,2024-05-01
807,380,15,72,9,39,12,8,33,4,25,2024-04-26
810,592,27,62,5,24,36,40,19,11,23,2024-04-17
808,578,27,43,21,13,48,34,22,4,30,2024-05-08
803,449,18,72,11,28,52,18,22,16,28,2024-04-26
803,308,14,68,20,32,51,53,23,7,22,2024-04-12
809,471,19,35,4,13,12,19,28,28,20,2024-05-10
802,516,20,30,21,23,18,34,26,18,34,2024-04-19
801,396,16,64,5,39,15,8,24,4,26,2024-05-09
803,407,27,61,11,5,14,51,20,3,27,2024-05-10
810,444,22,78,25,38,27,12,27,27,34,2024-04-11
808,367,19,52,20,38,40,26,24,22,28,2024-04-13
804,391,19,32,21,25,22,21,23,25,33,2024-05-04
810,535,17,44,15,28,48,38,20,12,31,2024-04-09
803,570,17,36,13,16,9,17,29,11,30,2024-05-10
805,354,16,36,25,37,50,22,30,0,27,2024-04-23
810,517,24,71,17,12,58,6,21,22,27,2024-05-05
814,333,24,60,12,39,9,15,25,1,27,2024-05-10
808,336,19,38,16,11,59,27,31,24,35,2024-04-14
803,511,25,80,6,35,43,43,22,7,25,2024-05-11
805,448,27,63,16,10,61,50,28,9,34,2024-05-08
804,502,18,71,10,7,65,28,29,28,31,2024-04-19
810,508,25,33,5,7,52,32,34,3,33,2024-04-30
810,549,26,40,2,38,50,50,26,11,34,2024-04-29
805,553,14,67,0,24,5,49,30,13,26,2024-04-10
801,336,16,42,0,36,21,18,20,7,32,2024-04-12
805,365,26,65,5,7,65,45,31,27,23,2024-04-07
811,336,18,33,22,16,28,11,32,6,28,2024-05-07
810,512,14,48,4,43,61,9,27,21,22,2024-04-14
804,496,23,79,15,22,45,20,18,23,22,2024-05-10
804,390,25,38,15,18,57,41,33,23,28,2024-04-28
809,405,27,76,23,18,50,35,25,2,25,2024-05-03
811,409,21,75,0,15,54,40,18,0,21,2024-04-24
811,519,16,75,9,43,20,33,30,24,32,2024-04-07
814,433,16,34,2,25,13,19,34,14,32,2024-04-18
811,507,15,74,12,31,57,8,27,28,29,2024-04-30
809,336,14,37,22,5,53,46,22,0,26,2024-04-22
805,330,15,62,20,11,63,52,21,16,25,2024-04-26
808,586,25,78,5,20,43,7,35,3,28,2024-05-03
808,411,19,72,5,18,34,32,25,4,20,2024-04-30
809,403,24,54,8,29,57,41,18,16,33,2024-04-07
806,375,27,42,4,31,53,53,26,0,28,2024-04-17
802,516,22,69,12,13,10,49,28,1,23,2024-05-09
804,594,16,39,24,16,64,17,29,26,20,2024-05-11
813,527,19,59,4,20,19,45,30,15,32,2024-04-16
803,479,20,39,7,15,32,18,22,19,22,2024-04-26
812,358,21,60,23,28,16,52,20,18,31,2024-04-22
809,514,18,79,25,19,32,5,25,3,23,2024-04-09
808,540,14,36,2,22,51,26,21,18,35,2024-04-21
802,434,24,65,20,8,46,46,25,13,26,2024-04-27
806,468,18,31,10,10,65,37,30,10,30,2024-04-29
810,305,18,31,20,21,55,25,31,9,20,2024-04-27
802,420,27,56,5,31,31,11,32,6,29,2024-05-02
811,439,25,48,22,5,23,21,34,5,35,2024-05-07
812,489,16,63,23,34,50,53,29,17,35,2024-04-13
802,451,27,49,23,31,31,50,26,12,30,2024-04-21
813,522,16,46,5,37,35,9,29,13,25,2024-05-05
808,405,17,60,25,16,64,13,18,18,27,2024-04-28
812,447,19,54,8,18,26,38,23,27,23,2024-04-20
801,389,20,31,1,39,54,41,21,20,34,2024-04-30
801,306,24,40,12,39,28,36,18,8,21,2024-05-09
813,591,19,35,13,41,5,30,24,27,22,2024-04-11
811,574,24,60,20,40,65,24,18,12,23,2024-05-10
811,305,18,50,6,29,35,13,32,23,21,2024-04-13
814,524,22,76,17,8,34,33,21,18,33,2024-04-23
812,371,17,33,18,41,15,37,31,19,28,2024-04-22
803,498,20,76,9,43,65,15,34,16,26,2024-04-23
807,369,23,68,1,33,53,38,21,17,27,2024-05-05
804,516,21,61,22,29,24,42,25,21,20,2024-04-12
811,488,27,57,23,35,38,50,35,3,24,2024-05-08
812,505,23,70,13,24,51,38,25,28,30,2024-04-09
811,385,22,73,4,20,11,38,19,1,23,2024-04-21
812,389,23,48,1,25,44,31,23,28,28,2024-05-10
803,488,21,80,24,43,63,23,20,9,31,2024-05-10
806,425,17,44,16,21,9,9,21,22,28,2024-04-20
802,435,22,33,7,36,46,8,25,23,28,2024-05-09
808,569,21,50,3,39,59,24,24,17,23,2024-04-30
805,576,15,59,1,17,47,32,19,2,26,2024-05-02
813,420,16,42,14,36,7,5,28,29,32,2024-05-06
810,527,24,35,4,24,5,52,23,1,22,2024-04-21
809,437,25,70,23,20,35,35,33,10,28,2024-04-11
803,570,25,57,0,38,64,33,32,26,25,2024-05-01
809,508,23,57,11,26,42,9,18,23,34,2024-04-25
813,410,15,68,10,11,65,44,22,23,20,2024-05-08
805,304,27,37,15,34,41,50,23,28,30,2024-05-04
806,562,22,31,13,5,27,53,27,14,27,2024-05-09
804,496,23,62,17,12,53,30,19,27,26,2024-05-03
805,353,16,40,5,18,22,19,34,10,23,2024-04-20
808,583,14,43,14,33,6,43,18,26,31,2024-04-15
809,471,26,30,20,22,46,25,20,8,35,2024-05-02
807,373,18,57,4,31,42,50,29,19,28,2024-04-28
810,490,23,68,11,9,17,34,23,13,26,2024-04-09
810,374,25,63,14,17,21,29,26,29,32,2024-05-06
802,418,17,39,1,17,36,18,26,23,35,2024-04-25
802,327,17,51,7,38,52,40,20,28,32,2024-04-17
808,588,15,72,19,41,19,45,27,4,28,2024-04-17
811,493,14,62,4,42,16,43,34,27,27,2024-04-30
804,413,17,78,18,32,57,20,35,21,31,2024-04-17
812,439,26,76,0,25,26,27,20,26,22,2024-05-10
801,456,23,52,1,33,60,6,19,7,30,2024-05-08
809,450,23,30,9,37,32,11,22,4,27,2024-04-20
801,491,16,73,16,30,36,40,28,25,34,2024-05-09
803,425,19,56,9,21,44,32,24,7,32,2024-04-24
806,309,21,30,6,25,29,15,21,23,28,2024-04-22
807,339,24,70,1,28,45,39,22,18,29,2024-04-27
802,505,20,38,8,10,49,46,35,21,26,2024-05-01
802,321,23,30,7,43,42,50,33,26,20,2024-04-14
804,402,24,35,16,13,41,18,34,14,20,2024-04-30
807,487,27,72,23,35,8,18,32,16,26,2024-04-13
804,340,21,42,16,17,39,49,23,9,23,2024-04-14
809,437,22,63,18,14,35,43,18,11,35,2024-04-13
809,354,26,57,25,15,26,17,18,19,28,2024-05-06
806,377,17,34,13,17,50,50,31,6,22,2024-04-18
812,435,20,79,4,8,36,42,32,3,33,2024-04-08
806,379,21,65,18,38,12,5,32,5,35,2024-04-22
805,349,23,57,21,32,61,52,32,4,34,2024-04-18
807,453,23,58,3,31,29,43,26,17,30,2024-05-01
805,586,23,79,19,7,57,51,19,9,21,2024-04-23
808,568,20,35,10,11,31,33,23,16,34,2024-04-07
811,544,15,38,21,11,59,11,28,23,33,2024-05-05
809,447,16,44,16,32,15,43,24,11,20,2024-05-11
809,338,20,42,4,32,20,17,28,26,34,2024-05-03
804,361,25,49,24,13,35,5,33,1,23,2024-04-19
808,405,16,55,10,17,14,46,22,23,21,2024-05-03
804,370,17,66,9,8,21,22,20,29,30,2024-04-29
806,458,25,48,16,18,52,13,27,20,28,2024-04-07
814,502,22,80,16,22,27,13,32,23,30,2024-04-26
814,391,14,40,18,24,25,31,25,7,28,2024-04-20
804,392,24,68,11,33,65,8,28,20,29,2024-04-17
806,537,20,61,21,17,48,30,24,5,33,2024-05-11
806,367,14,55,25,32,63,22,24,8,26,2024-05-07
812,475,21,73,0,8,45,34,35,16,30,2024-05-07
813,331,20,69,1,11,29,19,32,20,30,2024-04-11
804,588,23,50,11,7,47,6,32,1,24,2024-04-14
809,581,22,45,9,6,26,5,22,17,30,2024-04-13
805,537,16,73,5,42,24,38,35,30,28,2024-05-07
801,406,21,53,10,7,46,49,29,1,32,2024-05-08
807,465,25,74,5,38,44,24,23,19,27,2024-04-12
801,423,25,49,10,40,57,52,23,25,31,2024-04-19
803,446,25,70,23,20,50,47,30,14,27,2024-05-03
809,538,24,53,25,22,27,37,32,0,27,2024-04-22
802,327,19,80,21,38,36,8,27,23,21,2024-04-19
813,565,18,43,20,29,12,15,35,3,25,2024-05-02
811,388,15,79,20,10,60,41,19,7,22,2024-04-26
805,552,21,64,1,21,50,22,35,23,35,2024-04-15
804,459,20,70,12,37,15,14,22,1,26,2024-04-10
804,507,22,31,18,14,7,40,24,27,23,2024-05-10
805,553,24,42,3,5,50,24,32,1,28,2024-05-06
806,512,26,70,16,39,53,40,24,0,34,2024-04-30
814,314,18,40,5,33,20,25,28,20,27,2024-04-25
806,390,18,39,6,15,11,6,23,9,21,2024-04-13
812,408,20,46,23,42,35,15,26,29,33,2024-04-10
810,588,25,53,8,11,10,42,31,12,30,2024-04-07
809,506,14,51,5,13,65,29,23,26,25,2024-05-01
804,436,22,79,5,5,35,28,35,4,25,2024-04-29
812,492,22,79,16,33,61,9,26,23,24,2024-05-07
805,406,24,34,12,21,12,14,24,5,22,2024-04-23
813,521,22,71,9,29,11,10,35,24,29,2024-05-09
803,569,22,48,11,32,52,29,21,20,33,2024-04-26
801,328,19,63,9,37,62,11,32,23,27,2024-04-10
812,442,20,65,18,31,44,28,32,10,30,2024-04-30
804,594,27,66,20,8,26,41,30,3,21,2024-04-17
803,333,20,64,9,6,56,19,29,7,20,2024-05-02
804,387,27,70,17,35,20,19,31,10,23,2024-05-05
807,485,20,75,4,26,21,33,28,15,23,2024-04-15
806,486,22,78,11,38,28,6,24,26,27,2024-05-10
814,514,24,62,24,25,60,20,18,23,28,2024-04-20
811,562,18,59,9,31,57,35,26,2,23,2024-05-07
805,455,21,71,23,13,19,49,23,17,23,2024-05-06
802,373,23,56,25,5,58,50,31,4,21,2024-04-26
805,358,23,53,0,34,39,9,22,10,27,2024-04-16
803,522,18,72,13,11,6,51,19,10,28,2024-04-21
805,527,25,76,21,17,52,34,22,25,34,2024-04-08
814,493,20,48,19,6,20,36,31,18,20,2024-05-09
812,498,17,56,2,34,11,41,19,10,33,2024-04-09
811,561,27,38,23,27,8,48,27,11,27,2024-05-11
813,348,15,56,21,32,19,31,18,18,28,2024-04-29
805,411,15,35,11,15,40,8,35,7,26,2024-05-03
803,336,18,63,14,38,50,32,28,6,27,2024-05-01
811,462,19,71,10,9,43,17,20,21,32,2024-05-07
809,346,14,43,4,40,44,47,24,13,34,2024-04-25
806,586,25,61,7,24,43,28,18,14,33,2024-04-22
802,522,19,80,8,38,27,7,35,24,22,2024-04-27
811,428,19,34,18,31,7,49,21,3,23,2024-04-30
804,515,26,68,24,36,50,38,24,21,30,2024-05-07
810,555,14,50,13,30,34,29,18,8,22,2024-04-14
808,445,25,51,17,43,26,10,28,19,27,2024-04-09
812,533,17,73,21,43,49,48,34,21,33,2024-05-01
804,471,15,54,19,21,26,38,33,30,27,2024-04-30
807,498,17,72,15,19,54,41,18,18,31,2024-05-05
809,407,17,47,17,16,64,51,33,9,35,2024-05-09
806,578,26,53,17,22,55,49,33,8,23,2024-04-18
813,499,22,62,11,11,48,8,26,6,34,2024-05-06
814,558,18,31,12,18,22,13,32,27,30,2024-04-22
806,441,26,56,21,42,47,46,33,13,27,2024-04-19
807,591,23,51,9,15,49,38,22,4,24,2024-04-08
805,541,24,59,1,23,34,36,27,10,33,2024-04-15
805,342,23,79,24,43,30,10,26,24,20,2024-05-02
810,530,22,73,5,7,12,19,34,21,26,2024-04-22
809,326,27,68,18,38,7,20,18,15,24,2024-04-20
805,367,15,37,10,21,35,52,33,7,32,2024-04-10
814,304,26,61,7,35,65,30,18,14,28,2024-04-08
801,317,27,50,4,16,7,27,30,30,26,2024-04-11
806,403,14,55,3,31,19,18,19,5,30,2024-04-07
809,308,20,39,23,25,15,44,32,15,27,2024-04-21
802,580,22,64,9,41,10,23,22,19,20,2024-05-09
807,430,26,54,22,21,65,51,18,14,34,2024-04-12
806,309,24,60,18,23,46,25,31,7,25,2024-05-11
810,424,21,36,12,12,34,15,28,1,29,2024-04-30
809,337,14,45,22,10,64,46,22,14,27,2024-04-20
801,302,19,51,16,33,15,24,30,22,20,2024-04-28
801,365,25,47,21,16,44,29,33,4,25,2024-04-17
813,435,24,61,6,14,39,52,35,23,24,2024-05-05
803,474,14,66,9,15,60,13,35,28,23,2024-04-14
801,478,17,40,14,22,30,10,31,13,24,2024-04-22
806,347,22,75,17,33,36,51,25,2,24,2024-04-16
811,498,25,32,23,32,14,26,28,4,28,2024-05-07
814,403,23,35,8,39,46,13,18,24,21,2024-04-16
805,508,25,51,10,32,38,8,25,18,33,2024-05-03
814,369,20,60,10,11,31,47,18,20,25,2024-04-15
811,534,14,68,1,19,60,25,33,7,31,2024-05-04
809,559,14,74,5,18,6,52,28,8,27,2024-04-27
813,444,25,78,6,19,64,21,20,10,30,2024-04-10
814,420,17,72,10,25,10,20,18,22,24,2024-04-29
811,397,19,56,7,15,15,25,22,4,31,2024-05-03
803,388,25,63,22,6,16,30,33,10,32,2024-04-11
805,546,26,79,2,13,61,29,26,12,23,2024-04-17
805,310,25,31,10,26,64,36,33,7,33,2024-05-09
808,528,22,76,16,26,15,34,23,20,21,2024-04-22
804,364,27,40,6,36,62,26,33,28,23,2024-04-23
808,522,15,60,2,15,20,42,31,18,21,2024-05-08
814,400,25,71,2,23,56,42,28,30,20,2024-04-24
809,514,15,60,1,29,50,8,29,11,23,2024-04-27
807,471,20,41,12,37,11,22,20,20,24,2024-04-22
812,451,27,79,14,25,40,41,32,29,29,2024-04-11
810,326,16,38,7,27,65,47,23,21,23,2024-04-13
801,356,14,56,21,16,16,25,21,9,21,2024-04-28
806,422,19,64,0,19,33,47,32,17,34,2024-05-02
809,438,25,49,10,36,59,52,26,21,31,2024-04-12
804,431,27,34,20,7,24,44,20,24,35,2024-05-10
810,553,25,45,25,18,59,22,21,8,27,2024-04-30
811,557,24,46,6,40,5,10,30,2,35,2024-05-02
809,469,26,38,21,15,12,48,27,25,28,2024-04-18
808,413,19,57,14,33,20,18,35,20,29,2024-05-09
804,593,15,65,14,43,34,16,25,14,31,2024-04-25
805,440,20,58,21,13,51,29,33,19,30,2024-04-23
801,373,27,71,1,10,35,29,31,22,35,2024-04-25
805,373,25,44,11,16,63,16,24,13,20,2024-05-05
811,488,14,64,12,25,57,47,28,29,22,2024-04-08
807,551,22,40,17,30,51,47,30,17,27,2024-04-15
802,554,20,59,3,18,20,32,32,30,26,2024-04-28
802,594,19,61,12,14,10,26,32,10,31,2024-05-09
809,338,23,39,21,32,41,39,24,19,26,2024-04-30
808,402,14,33,24,41,19,27,32,21,24,2024-04-08
813,391,21,77,18,25,11,9,35,10,27,2024-05-04
811,343,25,34,24,40,22,27,33,30,34,2024-04-13
805,562,19,46,1,16,37,35,20,17,34,2024-04-30
813,376,14,57,6,26,32,16,25,21,27,2024-04-22
806,457,24,30,11,26,28,28,35,19,32,2024-05-08
801,430,17,60,14,5,33,36,29,20,26,2024-04-30
802,570,19,57,21,6,33,49,25,19,30,2024-04-16
813,319,24,38,17,16,54,27,30,1,29,2024-05-10
804,460,25,63,11,11,11,8,33,3,22,2024-04-22
812,520,23,51,0,29,53,16,34,25,21,2024-05-10
804,347,16,36,18,21,21,49,32,21,34,2024-04-30
814,478,25,60,4,28,31,26,26,10,34,2024-04-14
805,410,22,72,4,34,42,34,35,27,27,2024-04-09
812,326,22,57,10,10,48,10,32,27,35,2024-04-12
804,550,18,73,25,42,41,29,23,17,27,2024-04-10
801,570,18,47,11,15,56,40,18,17,35,2024-05-08
808,555,19,71,19,32,46,27,23,22,20,2024-04-23
814,563,18,58,22,6,54,11,33,20,24,2024-04-23
814,388,16,68,21,12,27,28,26,2,35,2024-05-04
804,429,26,77,25,22,59,24,34,1,28,2024-05-01
802,425,20,63,6,37,21,48,24,3,35,2024-04-09
803,416,23,77,12,33,57,30,27,30,29,2024-04-20
807,410,14,74,23,35,53,44,29,9,28,2024-05-03
814,416,22,56,2,7,45,23,31,28,27,2024-04-21
811,356,14,35,20,10,45,39,19,24,34,2024-04-25
807,573,20,65,12,26,54,27,31,2,28,2024-04-10
814,337,17,39,2,17,22,40,28,29,21,2024-04-10
807,462,15,61,1,22,22,46,31,4,34,2024-04-21
813,365,18,67,20,26,6,33,34,30,31,2024-04-23
810,426,14,32,11,29,41,11,35,25,28,2024-04-23
813,425,23,79,10,7,38,43,20,22,31,2024-05-04
804,355,20,34,7,30,56,42,27,23,25,2024-04-13
811,368,26,31,22,11,52,42,34,30,27,2024-04-17
808,530,18,52,21,16,16,36,21,10,22,2024-04-22
802,524,20,52,8,31,41,35,26,9,21,2024-04-12
812,470,26,44,6,33,50,5,21,25,29,2024-04-11
803,486,19,47,8,43,12,47,21,28,33,2024-04-10
805,300,18,46,22,18,18,9,26,17,29,2024-04-17
804,562,23,45,25,24,48,42,19,6,24,2024-05-10
802,402,23,49,12,20,53,43,34,20,34,2024-04-19
808,576,18,51,11,40,58,42,24,4,23,2024-04-21
814,582,21,59,22,37,12,31,18,24,22,2024-04-22
807,403,27,31,16,24,61,49,29,2,35,2024-04-12
801,505,15,80,2,41,33,35,18,10,27,2024-05-07
811,464,18,50,0,15,62,45,21,23,32,2024-04-07
808,435,15,42,8,17,52,5,29,21,22,2024-04-28
802,591,17,76,10,13,43,5,19,14,33,2024-04-19
808,596,17,77,3,23,26,22,23,12,28,2024-05-08
812,447,16,60,17,23,62,52,23,16,24,2024-05-05
814,361,16,69,4,29,10,47,19,15,27,2024-04-30
805,471,14,60,23,5,10,43,35,26,33,2024-04-20
801,441,16,62,6,33,28,36,22,21,24,2024-04-08
806,410,21,64,19,23,55,8,32,14,26,2024-05-10
812,503,19,52,22,27,56,50,35,20,33,2024-04-11
811,585,26,46,6,25,30,40,18,18,20,2024-04-27
809,519,25,73,12,32,16,22,27,1,28,2024-04-18
805,323,18,64,14,9,31,8,25,6,25,2024-04-08
803,576,22,57,9,13,5,37,20,19,31,2024-04-21
804,489,18,43,2,26,27,18,21,30,35,2024-04-19
803,554,22,41,13,18,38,5,30,4,31,2024-04-22
803,343,24,56,10,29,32,37,26,4,30,2024-04-20
813,553,15,42,8,6,21,7,27,15,33,2024-04-18
803,307,16,79,24,9,27,49,25,22,24,2024-04-19
804,409,24,80,3,12,49,8,19,21,31,2024-05-10
808,515,21,44,7,21,10,30,27,17,25,2024-04-09
801,359,24,74,25,23,22,47,20,10,27,2024-04-22
801,487,20,78,18,26,6,25,28,9,32,2024-04-26
802,314,20,59,3,21,45,36,27,16,27,2024-04-25
808,510,14,34,21,9,22,49,18,6,24,2024-04-26
801,381,25,75,8,30,21,44,30,6,33,2024-04-10
802,503,16,80,12,19,27,44,35,20,26,2024-04-10
812,337,25,55,6,29,25,43,35,2,28,2024-04-26
813,419,14,34,2,26,55,53,29,12,27,2024-04-28
809,529,16,56,3,32,53,29,23,8,20,2024-05-07
812,598,21,51,23,21,34,29,31,26,20,2024-04-12
814,513,16,35,6,29,46,51,18,17,27,2024-05-05
804,511,14,50,0,21,63,18,19,22,35,2024-04-28
807,385,14,33,22,14,38,9,28,8,24,2024-05-06
808,575,18,64,25,23,39,28,18,0,30,2024-04-11
814,300,27,55,15,11,44,10,35,1,26,2024-04-21
805,495,16,54,4,28,40,53,32,25,33,2024-05-05
803,306,27,30,23,13,21,12,29,27,28,2024-04-09
814,564,24,58,19,30,11,53,32,19,34,2024-04-11
